Column1;dissimilarity_0;dissimilarity_45;dissimilarity_90;dissimilarity_135;correlation_0;correlation_45;correlation_90;correlation_135;homogeneity_0;homogeneity_45;homogeneity_90;homogeneity_135;contrast_0;contrast_45;contrast_90;contrast_135;ASM_0;ASM_45;ASM_90;ASM_135;energy_0;energy_45;energy_90;energy_135;label
15;6,79214E+15;7,72623E+14;7,59057E+15;7,64671E+15;8,38445E+15;7,78193E+15;7,7687E+14;7,85779E+15;1,64853E+16;1,48677E+16;1,55754E+16;1,56432E+16;9,65098E+15;1,32407E+16;1,29906E+16;1,27481E+16;1,02554E+16;9,79458E+15;1,01961E+16;9,84462E+15;3,2024E+15;3,12963E+16;3,19314E+15;3,13761E+15;basal
16;1,00685E+16;1,15436E+16;1,00471E+16;1,03025E+16;7,03132E+15;6,35438E+15;7,26603E+15;6,95815E+14;1,16212E+16;1,0547E+16;1,18272E+16;1,07203E+15;2,19155E+16;2,67406E+15;2,01059E+16;2,22878E+16;7,54989E+15;6,95071E+15;7,28245E+15;7,17909E+14;2,74771E+16;2,63642E+16;2,6986E+16;2,67938E+16;basal
17;1,07331E+16;1,24168E+16;1,04724E+16;1,02443E+16;8,10229E+15;7,46539E+15;8,06388E+15;8,24502E+15;1,11404E+16;1,00658E+16;1,10118E+16;1,15882E+16;2,43462E+16;3,37043E+15;2,55649E+16;2,33054E+16;6,18933E+15;5,68623E+15;6,41929E+15;6,22134E+15;2,48784E+15;2,38458E+16;2,53363E+16;2,49426E+15;basal
18;6,7214E+16;6,24281E+15;6,7E+15;7,95789E+15;7,44904E+15;7,77901E+15;7,593E+15;6,46586E+15;1,55585E+15;1,77831E+16;1,59404E+16;1,33525E+15;9,39792E+15;8,48658E+15;9,13317E+15;1,34947E+15;1,45164E+14;1,57572E+16;1,46769E+15;1,29544E+16;3,81004E+16;3,96953E+15;3,83105E+14;3,59923E+15;basal
19;1,49364E+14;1,54897E+16;1,56527E+16;1,6439E+16;7,53286E+14;7,57927E+15;7,43162E+15;7,01629E+15;8,45756E+15;7,86451E+15;8,01456E+15;8,31361E+14;4,5351E+16;4,66967E+16;5,13423E+15;5,75897E+15;3,83586E+15;3,82153E+16;3,86755E+16;3,75921E+16;1,95854E+15;1,95487E+16;1,96661E+15;1,93887E+16;basal
20;9,40112E+15;1,05648E+16;1,02073E+16;9,84243E+14;5,32791E+15;4,30411E+15;4,73582E+16;5,23996E+15;1,43949E+16;1,25616E+16;1,20319E+15;1,24999E+16;1,8787E+16;2,31104E+16;2,11157E+15;1,93019E+16;9,50781E+15;8,54333E+15;8,65959E+15;8,92099E+15;3,08347E+16;2,9229E+15;2,94272E+16;2,9868E+16;basal
21;6,01586E+15;6,44102E+15;6,70014E+15;6,8706E+14;7,23784E+15;6,7407E+15;6,49228E+15;6,4204E+15;1,72119E+16;1,62765E+16;1,53022E+16;1,51912E+15;6,81705E+15;7,98908E+15;8,56244E+14;8,80088E+15;1,40429E+16;1,41459E+16;1,32179E+16;1,26601E+16;3,74738E+15;3,76111E+15;3,63564E+15;3,5581E+15;basal
22;1,06539E+16;1,1636E+16;1,13029E+16;1,15351E+16;4,83476E+16;3,70654E+14;4,10383E+16;4,06425E+16;1,24835E+16;1,18729E+16;1,16444E+16;1,1524E+15;2,57644E+16;3,14509E+15;2,92109E+14;2,96652E+15;8,08165E+15;7,66523E+15;7,7651E+15;7,72948E+15;2,84282E+16;2,76861E+15;2,78659E+16;2,78019E+16;basal
23;9,62611E+15;9,82776E+14;8,58243E+15;9,68999E+13;7,49423E+15;7,30787E+15;7,92151E+15;7,40741E+15;1,2687E+15;1,2429E+16;1,35912E+16;1,22265E+15;1,84909E+16;1,92668E+15;1,47846E+16;1,86223E+16;6,83543E+15;6,94619E+15;7,52153E+15;6,8856E+15;2,61447E+16;2,63556E+15;2,74254E+14;2,62404E+15;basal
24;9,29081E+14;9,90126E+15;9,42443E+15;9,34756E+15;5,67178E+15;5,44943E+13;5,53016E+15;5,42177E+15;1,34543E+15;1,10934E+15;1,20931E+16;1,24941E+16;2,0402E+16;2,12728E+16;2,12084E+15;2,09966E+16;8,11139E+15;7,30329E+15;7,60133E+15;7,93074E+15;2,84805E+16;2,70246E+16;2,75705E+15;2,81616E+16;basal
